itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8018548,analytics add-on for pay-as-you-go SAP Fieldglass Services Procurement,1,Flat Fee,"3,760.00",USD,Month,1,Infinite
8018575,SAP Ariba Central Invoice Management,"1,000",Document,"1,372.00",USD,Year,1,100
8018575,SAP Ariba Central Invoice Management,"1,000",Document,"1,110.00",USD,Year,101,500
8018575,SAP Ariba Central Invoice Management,"1,000",Document,686,USD,Year,501,2000
8018575,SAP Ariba Central Invoice Management,"1,000",Document,503,USD,Year,2001,Infinite
8018607,analytics add-on for pay-as-you-go SAP Fieldglass Contingent Workforce Management,1,Flat Fee,"3,760.00",USD,Month,1,Infinite
8018611,analytics add-on for SAP Fieldglass solutions,1,% of Net Recurring Fee,15,%,Year,1,Infinite
8018721,"sandbox environment for SAP Fieldglass solutions, base edition",1,Tenant,"2,083.00",USD,Month,1,Infinite
**,Cloud - Industry Solutions,,,,,,,
***,Cloud - Automotive,,,,,,,
8014153,SAP Self-Billing Cockpit,"12,000",Document,114,USD,Month,1,50
8014153,SAP Self-Billing Cockpit,"12,000",Document,75,USD,Month,51,100
8014153,SAP Self-Billing Cockpit,"12,000",Document,67,USD,Month,101,150
8014153,SAP Self-Billing Cockpit,"12,000",Document,55,USD,Month,151,200
8014153,SAP Self-Billing Cockpit,"12,000",Document,49,USD,Month,201,Infinite
8015801,SAP Returnable Packaging Management,"10,000",Record,266,USD,Month,1,10
8015801,SAP Returnable Packaging Management,"10,000",Record,183,USD,Month,11,100
8015801,SAP Returnable Packaging Management,"10,000",Record,80,USD,Month,101,500
8015801,SAP Returnable Packaging Management,"10,000",Record,39,USD,Month,501,1500
8015801,SAP Returnable Packaging Management,"10,000",Record,17,USD,Month,1501,Infinite
8018711,RISE with SAP add-on package for automotive,1,Entitlements Package,"5,386.00",USD,Month,1,Infinite
8018751,SAP Complaint Handling,"1,000",Record,"1,498.00",USD,Month,1,100
8018751,SAP Complaint Handling,"1,000",Record,742,USD,Month,101,1000
8018751,SAP Complaint Handling,"1,000",Record,443,USD,Month,1001,5000
8018751,SAP Complaint Handling,"1,000",Record,221,USD,Month,5001,50000
8018751,SAP Complaint Handling,"1,000",Record,85,USD,Month,50001,Infinite
***,Cloud - Retail,,,,,,,
8011328,"SAP Customer Activity Repository Cloud, additional non-productive tier, private edition (XXS)",1,Tenant,"13,740.00",USD,Month,1,Infinite
8011329,"SAP Customer Activity Repository Cloud, additional non-productive tier, private edition (XS)",1,Tenant,"17,713.00",USD,Month,1,Infinite
8011330,"SAP Customer Activity Repository Cloud, additional non-productive tier, private edition (S)",1,Tenant,"20,054.00",USD,Month,1,Infinite
8011331,"SAP Customer Activity Repository Cloud, additional non-productive tier, private edition (M)",1,Tenant,"27,532.00",USD,Month,1,Infinite
8011332,"SAP Customer Activity Repository Cloud, additional non-productive tier, private edition (L)",1,Tenant,"41,042.00",USD,Month,1,Infinite
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,32,USD,Month,1,5000
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,18,USD,Month,5001,10000
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,12,USD,Month,10001,20000
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,10,USD,Month,20001,40000
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,8.59,USD,Month,40001,60000
8011342,"SAP Customer Activity Repository Cloud, private edition","10,000",Transaction,7.21,USD,Month,60001,Infinite
8011431,"SAP Promotion Management for SAP Customer Activity Repository Cloud, private edition",1,Active User,"1,182.00",USD,Month,1,25
8011431,"SAP Promotion Management for SAP Customer Activity Repository Cloud, private edition",1,Active User,932,USD,Month,26,50
8011431,"SAP Promotion Management for SAP Customer Activity Repository Cloud, private edition",1,Active User,777,USD,Month,51,100
8011431,"SAP Promotion Management for SAP Customer Activity Repository Cloud, private edition",1,Active User,631,USD,Month,101,Infinite
8011432,"SAP Assortment Planning for SAP Customer Activity Repository Cloud, private edition",1,Active User,"1,089.00",USD,Month,1,25
8011432,"SAP Assortment Planning for SAP Customer Activity Repository Cloud, private edition",1,Active User,803,USD,Month,26,50
8011432,"SAP Assortment Planning for SAP Customer Activity Repository Cloud, private edition",1,Active User,631,USD,Month,51,100
8011432,"SAP Assortment Planning for SAP Customer Activity Repository Cloud, private edition",1,Active User,481,USD,Month,101,Infinite
8011433,"SAP Merchandise Planning for SAP Customer Activity Repository Cloud, private edition",1,User,777,USD,Month,1,25
8011433,"SAP Merchandise Planning for SAP Customer Activity Repository Cloud, private edition",1,User,467,USD,Month,26,50
8011433,"SAP Merchandise Planning for SAP Customer Activity Repository Cloud, private edition",1,User,401,USD,Month,51,100
8011433,"SAP Merchandise Planning for SAP Customer Activity Repository Cloud, private edition",1,User,316,USD,Month,101,Infinite
8011496,SAP Order Management foundation,"10,000",Transaction,230,USD,Month,1,10
8011496,SAP Order Management foundation,"10,000",Transaction,164,USD,Month,11,20
8011496,SAP Order Management foundation,"10,000",Transaction,121,USD,Month,21,50
8011496,SAP Order Management foundation,"10,000",Transaction,86,USD,Month,51,100
8011496,SAP Order Management foundation,"10,000",Transaction,69,USD,Month,101,200
8011496,SAP Order Management foundation,"10,000",Transaction,58,USD,Month,201,Infinite
8012195,"SAP Customer Activity Repository Cloud, additional productive tier, private edition (XXS)",1,Tenant,"27,300.00",USD,Month,1,Infinite
8012196,"SAP Customer Activity Repository Cloud, additional productive tier, private edition (XS)",1,Tenant,"39,030.00",USD,Month,1,Infinite
8012197,"SAP Customer Activity Repository Cloud, additional productive tier, private edition (S)",1,Tenant,"45,024.00",USD,Month,1,Infinite
8012655,SAP Order Management for sourcing and availability,"12,000",Transaction,632,USD,Month,1,10
