EventName
sap/s4/beh/workcenter/v1/WorkCenter/Deleted/v1
sap/s4/beh/workcenter/v1/WorkCenter/Deleted/*
sap/s4/beh/workcenter/v1/WorkCenter/Created/v1
sap/s4/beh/workcenter/v1/WorkCenter/Created/*
sap/s4/beh/workcenter/v1/WorkCenter/Changed/v1
sap/s4/beh/workcenter/v1/WorkCenter/Changed/*
sap/s4/beh/workcenter/v1/WorkCenter/*
sap/s4/beh/vmsvehicle/v1/VMSVehicle/Created/v1
sap/s4/beh/vmsvehicle/v1/VMSVehicle/Created/*
sap/s4/beh/vmsvehicle/v1/VMSVehicle/Changed/v1
sap/s4/beh/vmsvehicle/v1/VMSVehicle/Changed/*
sap/s4/beh/vmsvehicle/v1/VMSVehicle/*
sap/s4/beh/utilitiessalescontract/v1/UtilitiesSalesContract/SetToInProcess/v1
sap/s4/beh/utilitiessalescontract/v1/UtilitiesSalesContract/SetToInProcess/*
sap/s4/beh/utilitiessalescontract/v1/UtilitiesSalesContract/Changed/v1
sap/s4/beh/utilitiessalescontract/v1/UtilitiesSalesContract/Changed/*
sap/s4/beh/utilitiessalescontract/v1/UtilitiesSalesContract/*
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Released/v1
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Released/*
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Created/v1
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Created/*
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Changed/v1
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/Changed/*
sap/s4/beh/suppliersettlementlist/v1/SupplierSettlementList/*
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Released/v1
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Released/*
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Created/v1
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Created/*
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Changed/v1
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/Changed/*
sap/s4/beh/suppliersettlement/v1/SupplierSettlement/*
sap/s4/beh/supplierquotation/v1/SupplierQuotation/SuccssrDocCrted/v1
sap/s4/beh/supplierquotation/v1/SupplierQuotation/SuccssrDocCrted/*
sap/s4/beh/supplierquotation/v1/SupplierQuotation/Submitted/v1
sap/s4/beh/supplierquotation/v1/SupplierQuotation/Submitted/*
sap/s4/beh/supplierquotation/v1/SupplierQuotation/Awarded/v1
