table_name
KCC_ASSESMENT
KCC_ASSESSMENT_CUSTOM_TABLES
KCC_ASSESSMENT_RECOMMENDATIONS
KCC_ASSESSMENT_SQL_ANALYSIS
KCC_ASSESSMENT_STANDARD_TABLES
KCC_BAPIS
KCC_BTP_SERVICES
KCC_BTP_SERVICES_PRICE_LIST
KCC_CLEAN_CORE_ANALYSIS
KCC_COMPANY_USER_MAP
KCC_CONFIG_COMPLEXITY
KCC_CONFIG_COUNT_FROM
KCC_CONFIG_COUNT_TO
KCC_CONFIG_DETAILS
KCC_CONFIG_EFFORTS
KCC_CONFIG_MSTR
KCC_CONFIG_SUBFIELD
KCC_CUSTOMERDATA_ROI
KCC_EVENTS
KCC_EXPORTMWC
KCC_FILE_STORAGE
KCC_FUNCTION_MODULES
KCC_INTEGERATION_RESULT
KCC_INTERFACE_IDOCS
KCC_INTERFACE_STANDARD_API
KCC_KCC_REF_EVENTS
KCC_KCC_REF_FIORIAPPS
KCC_KCC_REF_PRICELIST
KCC_KPI_D_GRAPH_1
KCC_KPI_D_GRAPH_2
KCC_KPI_D_GRAPH_3
KCC_KPI_D_GRAPH_4
KCC_MIGRATION_OPTION
KCC_MSTR_COMPANY
KCC_MSTR_PROJECT
KCC_MSTR_QUESTIONNAIRE
KCC_MSTR_USER
KCC_NEW_S4_TABLES
KCC_OBJECT_ESTIMATE_ANSWER
KCC_PROJECT_CONFIG
KCC_PROJECT_HEADER
KCC_PROPMT
KCC_READ_CRUD
KCC_REF_EVENTS
KCC_REF_FIORIAPPS
KCC_REF_PRICELIST
KCC_RICEFW_OBJECTS
KCC_ROI_CALCULATION
KCC_ROI_CALCULATION2
KCC_ROI_CALCULATION_OUTPUT
KCC_S4_RECOMMENDATIONS
KCC_S4_STANDARD_EVENTS
KCC_SAP_STANDARD_API
KCC_SAP_STANDARD_FIORI_APP
KCC_SKILLSET
KCC_SQL_ANALYSIS_TABLES_API
KCC_SQL_ANALYSIS_TABLES_CDS
KCC_SQL_ANALYSIS_TABLES_DIRECT
KCC_STANDARD_EVENTS
KCC_TOPICS
KCC_USE_CASE_AREA
KCC_USE_CASE_AREA_EXPLANATION
KCC_WRICEF_TYPES
KCC_YEAR
KCC_YEARCALCULATION
